,0,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind_Speed
44,Pisco,-76.2167,-13.7,20.0,77,0,2.06
45,Saint Anthony,-93.218,45.0205,7.0,56,1,2.06
46,East London,27.9116,-33.0153,17.0,67,0,0.51
47,Santa Isabel,-46.2214,-23.3156,17.0,100,75,1.03
48,Hilo,-155.09,19.7297,23.0,73,90,5.66
49,Rikitea,-134.9692,-23.1203,25.06,70,26,2.48
50,Cabedelo,-34.8339,-6.9811,23.0,100,75,1.54
51,Bambous Virieux,57.7575,-20.3428,29.44,89,75,5.66
52,Hasaki,140.8333,35.7333,21.11,34,75,6.17
53,Port Alfred,26.891,-33.5906,21.9,26,6,3.35
54,Busselton,115.3333,-33.65,25.0,44,0,0.45
55,Puerto Colombia,-74.9547,10.9878,26.0,89,0,1.54
56,Hobart,147.3294,-42.8794,16.11,55,75,6.69
57,Yellowknife,-114.3525,62.456,-2.22,86,40,2.06
58,Umluj,37.2685,25.0213,28.41,54,0,0.99
59,Mar del Plata,-57.5575,-38.0023,18.89,100,75,2.57
60,Tabas,56.9244,33.5959,25.84,16,100,1.29
61,Bredasdorp,20.0403,-34.5322,13.0,76,0,3.6
62,Arrondissement de Saint-Jean-de-Maurienne,6.5833,45.1667,-0.56,82,72,1.71
63,Fortuna,-124.1573,40.5982,9.44,93,90,1.46
64,Kapaa,-159.319,22.0752,22.0,64,90,5.14
65,Lompoc,-120.4579,34.6391,11.0,82,10,2.06
66,Khatīma,79.9667,28.9167,35.22,15,0,4.41
67,Clyde River,-68.5914,70.4692,-15.0,85,90,4.63
68,Cidreira,-50.2056,-30.1811,20.67,87,82,2.64
69,Lebu,-73.65,-37.6167,12.72,88,99,3.51
70,Pouébo,164.5667,-20.4,25.6,74,46,4.37
71,Vao,167.4833,-22.6667,23.97,78,66,8.2
72,Wucheng,118.175,29.6008,20.98,44,100,1.69
73,Ahipara,173.1667,-35.1667,14.59,68,100,1.75
74,Jamestown,-79.2353,42.097,6.67,87,90,2.06
75,Lüderitz,15.1594,-26.6481,25.14,38,3,3.01
76,Hermanus,19.2345,-34.4187,22.22,25,0,4.02
77,Mount Gambier,140.7667,-37.8333,17.0,72,75,6.69
78,Orbetello,11.2196,42.4408,7.0,87,0,1.03
79,Sitka,-135.33,57.0531,8.0,66,40,2.69
80,Tura,90.2201,25.5198,32.09,35,3,3.09
81,Rørvik,11.2373,64.8621,4.45,74,7,4.17
82,Herzberg,13.2202,51.6869,7.0,93,75,1.03
83,Ostrovnoy,39.5131,68.0531,-1.16,75,91,5.53
84,Pacific Grove,-121.9166,36.6177,11.11,82,1,0.41
85,Tiarei,-149.3333,-17.5333,27.0,74,20,1.03
86,Severo-Kuril'sk,156.125,50.6789,2.32,66,100,6.13
87,Kananga,22.4178,-5.8958,22.88,79,77,2.59
88,Arraial do Cabo,-42.0278,-22.9661,24.08,81,99,9.13
89,Shenjiamen,122.298,29.9576,14.35,42,94,3.22
90,Esperance,121.9,-33.8667,24.0,35,75,3.09
91,Puerto Ayora,-90.3518,-0.7393,23.89,100,80,1.47
92,Vung Tau,107.0843,10.346,28.56,64,96,3.62
93,Vardø,31.1107,70.3705,1.8,88,60,6.54
94,Upernavik,-56.1549,72.7868,-14.36,90,100,4.61
95,Zunyi,106.9072,27.6867,12.93,91,100,1.46
96,Talaya,152.75,61.3833,1.83,84,26,4.81
97,Talnakh,88.3972,69.4865,-20.15,84,33,1.92
98,Nikolskoye,30.7861,59.7035,8.89,42,0,3.0
99,Saint Paul Harbor,-152.4072,57.79,5.0,87,90,1.54
100,Northam,-4.2167,51.0333,5.56,87,100,0.89
101,Kasempa,25.8338,-13.4584,16.34,78,88,5.09
102,Dikson,80.5464,73.5069,-15.94,90,72,2.65
103,Bilma,12.9164,18.6853,30.32,8,99,2.69
104,Leh,77.5833,34.1667,4.07,46,99,3.19
105,Yangi Marg`ilon,71.7189,40.4272,21.0,23,100,9.26
106,Carballo,-8.691,43.213,7.22,100,0,2.57
107,Eyrarbakki,-21.1481,63.863,1.0,75,75,3.6
108,Chany,76.7647,55.3121,7.47,60,100,6.13
109,Ribeira Grande,-28.7,38.5167,17.0,88,40,8.23
110,Saskylakh,114.0833,71.9167,-10.7,88,100,6.05
111,Humen,113.6731,22.819,28.89,32,40,5.0
112,Darnah,22.6367,32.767,20.17,69,100,4.99
113,Wajima,136.9,37.4,7.0,81,75,8.75
114,New Norfolk,147.0587,-42.7826,16.11,73,100,1.79
115,Cape Town,18.4232,-33.9258,23.33,48,0,1.54
116,Tuktoyaktuk,-133.0374,69.4541,-4.0,80,40,4.63
117,Syracuse,15.2792,37.0881,14.44,100,75,1.54
118,Mehamn,27.8492,71.0357,2.33,81,86,6.8
119,Valparaíso,-71.6273,-33.0393,13.89,82,85,2.4
120,Shimoda,138.95,34.6667,16.0,48,20,8.23
121,Bahía Honda,-83.1592,22.9036,23.31,90,56,1.39
122,Tambun,107.0712,-6.2641,33.33,58,40,3.6
123,Muros,-9.0603,42.7762,5.0,82,96,2.54
124,Carnarvon,113.6333,-24.8667,27.94,44,13,4.73
125,Flic en Flac,57.3631,-20.2742,29.44,89,75,5.66
126,Kaitangata,169.8464,-46.2817,13.89,64,65,2.24
127,Thompson,-97.8558,55.7435,-4.0,68,90,5.66
128,Lagoa,-27.9833,39.05,15.84,89,49,7.68
129,Conceição do Araguaia,-49.2647,-8.2578,23.0,100,0,1.03
130,Marmora,7.094,44.4583,5.0,87,90,1.54
131,Finschhafen,147.8681,-6.6024,29.16,74,99,2.84
132,Tuatapere,167.6833,-46.1333,13.33,70,91,1.79
133,São José da Coroa Grande,-35.1478,-8.8978,24.32,83,90,0.97
134,Ciudad Bolivar,-63.5497,8.1222,25.62,70,95,5.99
135,Longyearbyen,15.6401,78.2186,4.0,60,40,11.32
136,Córdoba,-64.1811,-31.4135,21.11,100,0,3.09
137,Isabela,121.9711,6.7085,30.0,79,75,8.23
138,Mubende,31.39,0.5606,21.09,69,87,1.78
139,Sioux Lookout,-91.917,50.1001,1.0,64,75,1.03
140,Bonfim,-59.95,3.0833,24.6,75,85,4.48
141,Turukhansk,87.9833,65.8167,-9.63,77,93,4.23
142,Rawson,-65.1023,-43.3002,15.4,91,98,8.5
143,Yerbogachën,108.0108,61.2767,-5.81,57,81,5.2
144,Tateyama,139.8667,34.9833,19.0,39,20,13.38
145,Saint-François,3.9054,46.4154,5.0,75,0,2.57
146,Santa Rosa,121.1114,14.3122,32.78,50,92,2.24
147,Dingle,122.6711,10.9995,31.27,49,100,7.42
148,Panjakent,67.6093,39.4952,20.0,37,20,2.06
149,Lufilufi,-171.5986,-13.8745,25.0,94,75,6.61
150,Ponta do Sol,-17.1,32.6667,13.33,73,70,2.24
151,Loreto,-101.9667,22.2667,14.75,13,2,1.67
152,City of San Pedro,121.0167,14.35,32.78,58,75,5.66
153,Vanderhoof,-124.0198,54.0166,8.75,81,61,2.46
154,George Town,100.3354,5.4112,32.0,66,40,3.6
155,Tiksi,128.8694,71.6872,-12.18,82,100,4.01
156,Kyshtovka,76.6271,56.555,5.33,76,100,5.25
157,Luanda,13.2343,-8.8368,25.0,88,75,1.03
158,Vaini,-175.2,-21.2,23.0,78,20,2.57
159,Kununurra,128.7333,-15.7667,32.0,20,84,5.66
160,Marabá,-49.1178,-5.3686,25.0,100,75,1.54
161,Pochutla,-96.4661,15.7432,23.89,83,3,0.89
162,Nemuro,145.575,43.3236,6.0,100,75,5.66
163,Brae,-1.353,60.3964,7.0,70,8,8.75
164,Tautira,-149.15,-17.7333,27.0,74,20,1.03
165,Zhezkazgan,67.7144,47.8043,20.43,18,69,5.71
166,Luocheng,104.0286,29.3848,16.22,85,100,1.68
167,Saint George,-113.5841,37.1041,14.0,19,1,7.72
168,Kampot,104.1833,10.6167,31.0,66,40,4.12
169,Tucuruí,-49.6725,-3.7661,22.3,97,100,0.24
170,Nālūt,10.85,30.3333,14.25,70,100,6.29
171,San Cristobal,-72.225,7.7669,19.31,86,89,1.19
172,Rensvik,7.8167,63.1,6.0,56,1,3.09
173,Chernenko,39.3103,44.365,12.35,89,100,0.97
174,Marystown,-55.1483,47.1666,3.27,95,100,8.7
175,Zyryanka,150.85,65.75,1.79,56,100,10.58
176,Carrick-on-Suir,-7.4131,52.3492,8.89,89,100,3.13
177,Atar,-13.0499,20.5169,21.47,29,0,3.64
178,Gazojak,61.4036,41.1875,23.99,17,9,1.35
179,Huilong,121.655,31.8111,19.44,33,65,2.66
180,San Quintín,-115.95,30.4833,13.69,86,0,3.66
181,Acaraú,-40.12,-2.8856,24.56,89,45,4.0
182,Manggar,108.2667,-2.8833,29.41,63,100,2.81
183,Inírida,-67.9239,3.8653,23.17,95,100,0.72
184,Constantine,6.6147,36.365,6.0,81,40,3.6
185,Zaysan,84.8667,47.4667,15.2,44,12,4.93
186,Kuantan,103.326,3.8077,33.0,58,40,1.03
187,Fukuechō,128.8419,32.6881,15.0,51,40,7.2
188,Srednekolymsk,153.6833,67.45,0.77,95,67,5.86
189,Pevek,170.3133,69.7008,-4.38,78,7,8.92
190,Tilichiki,166.1,60.4667,-1.82,89,42,2.13
191,Prymors'k,36.3443,46.7348,9.11,70,98,4.68
192,Mwene-Ditu,23.45,-7.0,20.01,89,70,2.53
193,Richards Bay,32.0377,-28.783,18.16,65,3,4.77
194,Bela,81.9833,25.9333,39.0,10,4,6.24
195,Leesburg,-77.5636,39.1157,8.33,76,90,1.54
196,Viedma,-62.9967,-40.8135,16.23,97,86,2.45
197,Nishihara,127.7558,26.1842,22.0,52,40,6.69
198,Bariloche,-71.3082,-41.1456,7.0,65,40,2.06
199,Halberstadt,11.05,51.9,8.33,89,100,1.34
200,Nanortalik,-45.2371,60.1432,-4.41,53,0,9.54
201,Buenos Aires,-58.3772,-34.6132,21.0,83,0,3.6
202,Morondava,44.2833,-20.2833,23.95,57,21,2.67
203,Hualmay,-77.6139,-11.0964,19.29,90,73,2.7
204,Severodvinsk,39.8302,64.5635,1.0,51,20,3.0
205,Morwell,146.4,-38.2333,17.22,71,76,1.79
206,Cayenne,-52.3333,4.9333,27.22,83,75,3.6
207,Torbay,-52.7314,47.6666,1.67,100,90,6.17
208,Souillac,57.5167,-20.5167,26.0,89,75,5.66
209,Kindia,-12.8658,10.0569,22.97,88,100,0.84
210,Zelenoborskiy,32.3622,66.845,2.22,100,100,1.83
211,Avarua,-159.775,-21.2078,25.0,88,61,1.54
212,Paphos,32.4167,34.7667,25.0,36,0,0.51
213,Ilulissat,-51.1,69.2167,-14.0,51,75,8.75
214,Nouna,-3.8667,12.7333,28.8,46,97,3.6
215,Chapleau,-83.4034,47.8405,0.24,89,95,1.13
216,Mayumba,10.6554,-3.432,25.86,88,100,1.22
217,Kavaratti,72.642,10.5669,29.04,65,4,1.98
218,Norden,7.2,53.6,7.22,95,47,2.68
219,Sibolga,98.7792,1.7427,30.23,61,71,2.34
220,Samaná,-69.3369,19.2056,23.14,94,6,2.23
221,Bull Savanna,-77.5902,17.8868,23.53,88,28,5.63
222,Areosa,-8.8571,41.7178,13.0,58,0,6.17
223,Florida,-82.5001,28.7505,20.0,88,75,1.91
224,Saint-Pierre,55.4781,-21.3393,26.0,73,90,4.12
225,Kavieng,150.7967,-2.5744,28.8,71,55,3.52
226,Saldanha,17.9442,-33.0117,18.0,34,0,3.51
227,Onega,38.1404,63.9061,2.71,69,21,2.82
228,Menongue,17.691,-14.6585,15.76,65,7,3.29
229,Presidencia Roque Sáenz Peña,-60.4388,-26.7852,20.0,92,26,0.89
230,Karratha,116.8463,-20.7377,31.25,42,0,7.46
231,Newport,-2.9984,51.5877,3.89,87,100,0.89
232,Paamiut,-49.6678,61.994,-11.15,58,7,4.42
233,Hithadhoo,73.0833,-0.6,28.04,62,54,2.46
234,Marawi,124.2928,7.9986,28.89,72,100,3.13
235,Chui,-53.4616,-33.6971,17.23,89,38,2.09
236,El Alto,-81.2147,-4.2714,21.04,76,93,3.41
237,Harindānga,88.3214,22.0383,32.0,62,40,2.57
238,Poshekhon'ye,39.1353,58.4993,7.36,62,91,4.18
239,Aguaí,-46.9786,-22.0594,17.45,94,99,0.46
240,Birmitrapur,84.7667,22.4,40.58,10,9,0.72
241,Rocha,-54.3333,-34.4833,15.15,96,84,1.71
242,Nome,-165.4064,64.5011,-1.0,69,1,2.54
243,Viranşehir,39.7631,37.2353,23.94,35,46,1.56
244,Baturaja,104.1667,-4.1333,32.93,50,93,1.92
245,Sechura,-80.8222,-5.5569,21.21,75,100,4.44
246,Grindavik,-22.4338,63.8424,0.0,100,75,7.2
247,Mikhaylovka,43.2379,50.06,10.0,94,49,0.89
248,Igarka,86.5833,67.4667,-16.73,78,27,6.48
249,Kysyl-Syr,122.7617,63.8986,-6.37,83,100,4.76
250,Hong Kong,114.1577,22.2855,25.0,72,63,2.68
251,Hofn,-15.2082,64.2539,6.28,91,100,5.0
252,Baringo,35.9667,0.4667,25.81,42,34,2.3
253,Kirakira,161.9205,-10.4544,28.1,79,100,3.06
254,Kamenka,42.7678,51.3223,8.33,92,12,2.57
255,Grand-Lahou,-5.0242,5.1367,25.39,87,84,2.91
256,Malbork,19.0266,54.0359,9.44,81,100,2.34
257,Luba,8.5547,3.4568,26.0,89,40,1.03
258,Arak,49.6892,34.0917,17.0,31,20,4.12
259,Beringovskiy,179.3167,63.05,0.17,98,100,4.24
260,Patillas,-66.0157,18.0064,23.89,90,22,0.89
261,Grand Gaube,57.6608,-20.0064,29.44,71,77,2.68
262,Bantry,-9.45,51.6833,7.0,93,90,4.12
263,Chokurdakh,147.9167,70.6333,-5.38,93,85,4.75
264,Green,-81.4832,40.9459,3.0,75,40,1.54
265,Monte Patria,-70.9467,-30.6919,17.58,66,0,0.4
266,Coquimbo,-71.3436,-29.9533,14.0,88,90,1.54
267,Rondonópolis,-54.6356,-16.4708,20.81,91,28,0.35
268,Khatanga,102.5,71.9667,-14.49,86,100,5.66
269,Nantucket,-70.0995,41.2835,6.0,87,90,2.57
270,Bethel,-73.414,41.3712,7.0,76,90,1.54
271,Bengkulu,102.2655,-3.8004,28.84,65,92,2.83
272,Jaru,-62.4664,-10.4389,21.88,98,100,1.44
273,Guerrero Negro,-114.0611,27.9769,14.47,82,0,7.27
274,Gari,62.3497,59.4307,-0.73,39,81,7.08
275,Vilhena,-60.1458,-12.7406,19.31,99,58,1.44
276,Baykit,96.37,61.67,-1.75,71,100,4.86
277,Jalu,21.5482,29.0331,27.88,18,56,4.02
278,Tuburan,122.2736,6.6439,30.0,79,75,8.23
279,Opuwo,13.84,-18.0607,21.34,43,93,4.06
280,Tual,132.75,-5.6667,26.92,79,100,5.06
281,Broken Hill,141.4333,-31.95,19.0,37,0,3.6
282,Faanui,-151.75,-16.4833,27.97,73,30,4.17
283,São Filipe,-24.4956,14.8961,21.91,73,0,3.98
284,Flinders,150.8552,-34.5833,20.56,69,26,0.45
285,Airai,125.4092,-8.9266,20.1,72,87,1.82
286,Mahon,4.2658,39.8885,8.0,87,20,3.09
287,Ajdabiya,20.2263,30.7554,24.35,42,91,5.77
288,Sfinţeşti,25.1,44.1833,7.77,77,100,5.91
289,Pemangkat,108.9667,1.1667,25.16,85,100,3.61
290,Havre-St-Pierre,-63.5986,50.2334,-2.0,86,90,3.6
291,Bonnyville,-110.735,54.2668,4.0,60,90,5.14
292,Guangzhou,113.25,23.1167,28.89,35,100,2.28
293,Galesong,119.3661,-5.3166,32.0,66,20,5.14
294,Lavrentiya,-171.0,65.5833,-5.2,97,33,1.46
295,Ancud,-73.8203,-41.8697,10.0,100,90,5.14
296,Busembatia,33.6131,0.7697,23.09,67,73,1.9
297,Salinópolis,-47.3561,-0.6136,25.09,87,99,4.59
298,Taiobeiras,-42.2331,-15.8078,16.51,87,63,1.21
299,Garoowe,48.4845,8.4054,27.41,54,5,4.28
300,Aklavik,-135.0107,68.2191,3.0,52,85,1.03
301,Cabimas,-71.4399,10.3883,27.3,78,98,1.96
302,Harper,-7.7169,4.375,25.48,84,98,1.76
303,Kibala,18.3463,9.1104,28.0,42,100,2.84
304,Kruisfontein,24.7314,-34.0033,20.61,26,3,1.82
305,Rio Grande,-52.0986,-32.035,20.13,82,21,3.9
306,Ballina,153.5667,-28.8667,23.0,68,79,7.72
307,Margate,1.3862,51.3813,5.0,79,84,1.79
308,Changji,87.3167,44.0167,21.0,28,40,3.0
309,Coffs Harbour,153.1333,-30.3,21.0,60,25,5.14
310,Adrar,-10.0711,20.5022,19.82,29,0,4.11
311,Lorengau,147.2712,-2.0226,29.05,68,66,3.15
312,Kumbhrāj,77.05,24.3667,35.9,16,3,0.74
313,Santa Cruz de la Sierra,-63.1667,-17.8,20.49,94,28,1.0
314,Saint-Philippe,55.7679,-21.3585,28.0,73,90,4.12
315,Beroroha,45.1667,-21.6667,22.48,50,16,3.86
316,Cap Malheureux,57.6142,-19.9842,29.44,71,79,2.68
317,Weirton,-80.5895,40.419,6.0,81,1,2.06
318,Meulaboh,96.1285,4.1363,29.96,64,79,2.59
319,Yelizovo,158.3805,53.1873,8.0,42,100,4.0
320,Tot'ma,42.7642,59.9747,5.81,72,38,4.22
321,Strezhevoy,77.5889,60.7333,-10.0,67,20,6.0
322,Ozernovskiy,156.5167,51.5,3.63,51,100,5.67
323,Juba,31.5825,4.8517,26.82,56,96,3.86
324,San Vicente,-54.1333,-26.6167,14.09,93,18,1.43
325,Port Hardy,-127.4199,50.6996,11.0,87,20,2.06
326,Coyhaique,-72.0662,-45.5752,9.48,94,100,1.24
327,Pāsighāt,95.3333,28.0667,24.79,66,80,1.98
328,Sunnyside,-120.0087,46.3237,16.67,66,1,1.07
329,Kloulklubed,134.2556,7.0419,30.0,74,75,4.12
330,Evensk,159.2333,61.95,-2.41,95,100,2.17
331,Sept-Îles,-66.3821,50.2001,-1.11,80,20,2.57
332,Shelui,34.2,-4.3667,20.96,74,82,6.38
333,Sabang,95.3214,5.8933,28.73,72,69,4.08
334,Chupa,33.0549,66.27,3.59,89,98,2.02
335,Griffith,-87.4237,41.5284,1.67,93,1,1.09
336,Bjerringbro,9.6607,56.378,8.0,66,90,1.54
337,Narsaq,-46.05,60.9167,-7.0,45,0,2.06
338,Jiblah,44.1467,13.9216,21.7,29,1,2.22
339,Flin Flon,-101.865,54.7682,-3.16,81,84,4.42
340,Yar-Sale,70.8333,66.8333,-12.69,90,69,6.68
341,Indi,75.9667,17.1667,36.98,19,3,3.33
342,Whitehorse,-135.0538,60.7161,5.0,52,1,2.06
343,Templin,13.5022,53.1186,7.22,81,94,2.89
344,Changying,123.3213,52.8733,13.87,42,13,3.88
345,Ha Tinh,105.9,18.3333,27.3,75,94,3.67
346,Turka,23.0297,49.1541,7.22,85,100,1.83
347,Tutóia,-42.2744,-2.7619,25.09,88,75,4.17
348,Ploemeur,-3.4333,47.7333,2.0,87,0,3.6
349,Aykhal,111.5,66.0,-13.23,85,100,7.05
350,Anadyr,177.4833,64.75,-4.0,93,75,5.0
351,São João do Piauí,-42.2467,-8.3581,21.74,80,99,0.48
352,Tazovsky,78.7,67.4667,-17.56,85,100,5.37
353,Tolaga Bay,178.3,-38.3667,13.7,70,19,3.56
354,Khulna,89.5672,22.8135,37.77,26,5,5.69
355,Iqaluit,-68.5145,63.7506,-12.0,72,75,2.06
356,Segezha,34.3222,63.7415,2.41,85,48,2.64
357,Alta Floresta,-56.0861,-9.8756,20.69,99,100,1.32
358,Trincomalee,81.2335,8.5711,31.73,59,96,2.13
359,Half Moon Bay,-122.4286,37.4636,12.0,87,1,1.54
360,Wanaka,169.15,-44.7,10.01,85,100,3.04
361,Asău,26.4,46.4333,7.78,46,88,1.71
362,Kota Kinabalu,116.0724,5.9749,31.67,74,20,2.57
363,Matara,80.5353,5.9485,27.77,76,100,2.17
364,Melo,-54.1833,-32.3667,15.52,97,78,2.17
365,Sapele,5.6767,5.8941,25.49,93,100,1.25
366,Touho,165.2333,-20.7833,25.29,73,49,5.02
367,Touros,-35.4608,-5.1989,24.0,94,75,1.54
368,Palmer,-72.3287,42.1584,3.33,100,1,0.64
369,Taltal,-70.4833,-25.4,17.16,80,3,1.01
370,Lashio,97.75,22.9333,33.73,23,0,1.21
371,Ordu,37.6845,40.9086,11.0,100,90,1.54
372,Mayo,-76.5119,38.8876,9.44,99,96,2.52
373,Constitución,-72.4167,-35.3333,12.25,88,97,1.27
374,Lincoln,-96.667,40.8,7.0,70,90,1.54
375,Nísia Floresta,-35.2086,-6.0911,24.0,94,75,1.54
376,Depok,106.8186,-6.4,33.33,58,40,3.6
377,Şurmān,12.5716,32.7567,16.13,69,100,1.58
378,Aldan,125.3894,58.6031,-6.04,87,100,3.98
379,Jumla,82.1838,29.2747,16.06,36,17,2.13
380,Amga,131.9608,60.8953,0.21,55,100,2.41
381,Bollnäs,16.3946,61.3482,6.11,59,9,0.45
382,Cockburn Town,-71.1419,21.4612,25.52,86,0,6.83
383,Peniche,-9.3811,39.3558,10.56,93,100,0.45
384,Nicoya,-85.452,10.1483,24.0,94,75,1.54
385,Ternate,127.4,0.8,28.69,74,81,4.98
386,Houffalize,5.7889,50.1332,3.89,81,81,0.89
387,Broome,-75.833,42.2506,6.11,87,90,2.06
388,Hirara,125.2833,24.8,22.0,53,40,9.77
389,Poum,164.0167,-20.2333,26.53,71,11,4.26
390,Leningradskiy,178.4167,69.3833,0.64,84,100,3.3
391,Nichinan,131.3667,31.6,20.0,24,20,10.29
392,Okitipupa,4.7839,6.5047,25.15,93,93,0.28
393,Port Keats,129.55,-14.25,32.78,30,59,3.79
394,Chara,118.2631,56.9064,-4.91,82,100,3.59
395,Eyl,49.8164,7.9803,29.84,57,51,4.81
396,Fairbanks,-147.7164,64.8378,5.0,56,1,3.6
397,Tongchuanshi,109.0897,35.0806,20.93,30,27,3.93
398,Ende,121.6623,-8.8432,29.74,61,89,2.81
399,Christchurch,172.6333,-43.5333,15.0,72,5,2.06
400,Gizo Government Station,156.8419,-8.103,28.78,72,90,1.12
401,Zhigalovo,105.1578,54.8097,1.28,48,21,0.12
402,Plettenberg Bay,23.3716,-34.0527,21.32,37,1,1.8
403,Bowen,148.2333,-20.0167,26.0,65,90,6.69
404,Kungurtug,97.5228,50.5994,7.3,36,45,1.61
405,Ambanja,48.45,-13.6833,26.62,78,100,0.67
406,Baharly,57.4316,38.4362,25.33,23,2,5.97
407,Mizhhirya,23.5056,48.5246,5.83,83,100,1.63
408,Husavik,-17.3389,66.0449,4.0,65,90,10.29
409,Neiafu,-173.9833,-18.65,26.0,78,20,2.06
410,Provideniya,-173.3,64.3833,-2.98,94,52,1.33
411,Siloam Springs,-94.5405,36.1881,3.0,100,20,1.54
412,Itarema,-39.9167,-2.9248,24.26,90,49,3.51
413,Kawalu,108.2082,-7.3817,29.87,57,99,1.81
414,Sayyan,44.3244,15.1718,18.67,26,44,5.04
415,Otjimbingwe,16.1333,-22.35,20.44,47,62,4.83
416,Suksun,57.3949,57.1431,3.64,67,36,6.0
417,Jinchang,102.1739,38.4953,17.7,10,99,3.45
418,‘Āhuimanu,-157.8378,21.4447,23.0,73,20,4.63
419,Barcelona,2.159,41.3888,10.0,65,0,6.17
420,Puro,123.3827,12.4841,26.79,76,100,11.29
421,Sinjār,41.8754,36.3209,26.13,24,60,2.56
422,Shache,77.2406,38.4167,20.65,25,100,0.85
423,Tezu,96.1667,27.9167,32.39,32,68,3.43
424,Porbandar,69.6093,21.6422,34.0,43,12,3.13
425,Danielskuil,23.5395,-28.1887,15.29,66,0,5.08
426,Imbituba,-48.6703,-28.24,21.0,78,75,2.06
427,Praia da Vitória,-27.0667,38.7333,15.0,88,20,3.61
428,Puerto Nariño,-70.3831,-3.7703,25.0,100,40,0.84
429,Yatou,122.3833,37.15,16.49,27,0,2.6
430,Lata,-8.3327,40.1629,8.33,76,100,2.24
431,Westport,-73.3579,41.1415,9.0,61,90,1.54
432,Sinnamary,-52.95,5.3833,25.15,80,93,5.88
433,Uthal,66.6219,25.8072,33.95,30,40,2.96
434,Sungai Penuh,101.3833,-2.0833,25.71,62,100,2.2
435,Valença do Piauí,-41.7456,-6.4075,20.66,92,86,1.69
436,Kutulik,102.7839,53.3508,1.41,36,43,3.11
437,Mossamedes,12.1522,-15.1961,27.62,66,8,1.85
438,Khovd,91.6419,48.0056,14.32,13,0,4.68
439,Vila Franca do Campo,-25.4333,37.7167,16.0,94,75,6.69
440,Kayes,-11.0,14.0,29.58,44,71,3.55
441,Sīwah,25.5195,29.2041,29.95,10,1,6.76
442,Aquiraz,-38.3911,-3.9014,25.0,88,40,1.54
443,Mörfelden-Walldorf,8.5836,49.9947,7.78,87,90,1.03
444,Rundu,19.7667,-17.9333,16.31,58,11,4.01
445,Kandi,2.9386,11.1342,28.9,52,98,2.85
446,Mitú,-70.1733,1.1983,21.47,98,99,0.97
447,Eureka,-124.1637,40.8021,8.89,96,3,1.29
448,Tashtyp,89.8983,52.7939,6.77,48,87,6.54
449,Barra do Garças,-52.2567,-15.89,20.48,93,35,1.12
450,Takoradze,-1.7554,4.8845,26.35,83,96,2.71
